Zone,State,Distributor,Dealer,MT,SF_Id
North,Punjab,Ramdoot Udhyog Private limited,AGGARWAL TRADERS,16,0015g00001cbFaYAAU
North,Punjab,Ramdoot Udhyog Private limited,HAKAM SINGH & CO.,15,001fw00000KHNPjAAP
North,Punjab,Ramdoot Udhyog Private limited,SHIVA BUILDING MATERIAL,23,001fw00000F3V6hAAF
North,Rajasthan,J P Alloys,DIPESH STEEL AND BUILDING MATERIAL,20,0015g00001dYcDHAA0
North,Rajasthan,J P Alloys,GANESHAAY METALS,30,001fw00000442SSAAY
North,Rajasthan,J P Alloys,Gangwal iron  industries,21,0015g00001ZSqUOAA1
North,Rajasthan,J P Alloys,HINDUSTAN STEEL CORPORATION,9,0015g00001XcEB4AAN
North,Rajasthan,J P Alloys,J P STEEL CO,30,001J1000005ZqvLIAS
North,Rajasthan,J P Alloys,JINDAL STEEL & INFRA LINES,29,001J100000JrSC0IAN
North,Rajasthan,J P Alloys,JP STEEL TUBES & PIPES PRIVATE LIMITED,76,001J100000JrJwqIAF
North,Rajasthan,J P Alloys,KARWASRA BUILDTECH,21,001J100000VnWOXIA3
North,Rajasthan,J P Alloys,M & D CONSTRUCTION COMPANY,29,001fw00000S9JHtAAN
North,Rajasthan,J P Alloys,MAYANK TRADERS,33,001J1000002iuY9IAI
North,Rajasthan,J P Alloys,P R ENTERPRISES,31,001J1000002iegwIAA
North,Rajasthan,J P Alloys,PARASRAJ INDUSTRIES,50,001J1000002ivMTIAY
North,Rajasthan,J P Alloys,RAJ STEEL,78,001J1000009HD3lIAG
North,Rajasthan,J P Alloys,RAJASTHAN COMMERCIAL CORPORATION,30,0015g00001c4PuPAAU
North,Rajasthan,J P Alloys,RATHI ISPAT,36,001fw00000KN6lyAAD
North,Rajasthan,J P Alloys,RISHABH SALES CORPORATION,7,001fw00000FFF7qAAH
North,Rajasthan,J P Alloys,SHREE BOHRA ENTERPRISES,9,001J1000002ikgFIAQ
North,Rajasthan,J P Alloys,SHRI SHYAM TRADERS,21,001fw00000Poj8RAAR
North,Rajasthan,J P Alloys,SHUBHAM ENTERPRISES,20,001J100000DTI3gIAH
North,Rajasthan,M R ASSOCIATES,AARTI STEEL,56,0015g00001f8XA2AAM
North,Rajasthan,M R ASSOCIATES,B M AGARWAL TRADING PRIVATE LIMITED,25,0015g00001c464aAAA
North,Rajasthan,M R ASSOCIATES,BALAJI STEEL,20,001fw00000OoZuSAAV
North,Rajasthan,M R ASSOCIATES,CHOUDHARY STEELS,12,0015g00001gvVvhAAE
